id,meaning_id,example
1500,1257,"Я пришел призвать не праведников, но грешников к покаянию."
1501,1260,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1502,1260,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1503,1287,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1504,1313,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1505,1321,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1506,1416,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1507,1437,"И он, встав, последовал за Ним."
1508,1558,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1509,1558,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1510,1604,"13 И вышел Иисус опять к морю;"
1511,1604,"И он, встав, последовал за Ним."
1512,1656,"и говорит ему: следуй за Мною."
1513,1656,"Я пришел призвать не праведников, но грешников к покаянию."
1514,1674,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1515,1694,"ибо много их было, и они следовали за Ним."
1516,1721,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1517,1737,"13 И вышел Иисус опять к морю;"
1518,1766,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1519,1766,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1520,1790,"15 И когда Иисус возлежал в доме его,"
1521,1790,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1522,1790,"ибо много их было, и они следовали за Ним."
1523,1805,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1524,1805,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1525,1807,"и весь народ пошел к Нему, и Он учил их."
1526,1836,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1527,1836,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1528,1938,"ибо много их было, и они следовали за Ним."
1529,2011,"и весь народ пошел к Нему, и Он учил их."
1530,2011,"Я пришел призвать не праведников, но грешников к покаянию."
1531,2011,"Я пришел призвать не праведников, но грешников к покаянию."
1532,2083,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1533,2198,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1534,2342,"и весь народ пошел к Нему, и Он учил их."
1535,2342,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1536,2342,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1537,2342,"ибо много их было, и они следовали за Ним."
1538,2342,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1539,2348,"13 И вышел Иисус опять к морю;"
1540,2480,"и говорит ему: следуй за Мною."
1541,2480,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1542,2480,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1543,2545,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1544,2545,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1545,2547,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1546,2563,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1547,2618,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1548,2618,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1549,23873,"Я пришел призвать не праведников, но грешников к покаянию."
1550,25195,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1551,25195,"15 И когда Иисус возлежал в доме его,"
1552,25622,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1553,25622,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1554,26219,"ибо много их было, и они следовали за Ним."
1555,30685,"15 И когда Иисус возлежал в доме его,"
1556,30980,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1557,30980,"16 Книжники и фарисеи, увидев, что Он ест с мытарями и грешниками, говорили ученикам Его: как это Он ест и пьет с мытарями и грешниками?"
1558,30980,"Я пришел призвать не праведников, но грешников к покаянию."
1559,32430,"15 И когда Иисус возлежал в доме его,"
1560,33303,"Я пришел призвать не праведников, но грешников к покаянию."
1561,34334,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1562,38193,"Я пришел призвать не праведников, но грешников к покаянию."
1563,38718,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1564,48105,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1565,48584,"17 Услышав сие, Иисус говорит им: не здоровые имеют нужду во враче, но больные;"
1566,70647,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1567,79726,"возлежали с Ним и ученики Его и многие мытари и грешники:"
1568,79726,"ибо много их было, и они следовали за Ним."
1569,79767,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1570,79767,"И он, встав, последовал за Ним."
1571,79767,"15 И когда Иисус возлежал в доме его,"
1572,79768,"14 Проходя, увидел Он Левия Алфеева, сидящего у сбора пошлин,"
1573,79974,"ибо много их было, и они следовали за Ним."
1574,14,"но вино молодое надобно вливать в мехи новые."
1575,15,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1576,33,"22 Никто не вливает вина молодого в мехи ветхие:"
1577,33,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1578,33,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1579,33,"но вино молодое надобно вливать в мехи новые."
1580,34,"18 Ученики Иоанновы и фарисейские постились."
1581,34,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1582,34,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1583,34,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1584,34,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1585,47,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1586,47,"Доколе с ними жених, не могут поститься,"
1587,85,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1588,96,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1589,96,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1590,116,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1591,116,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1592,219,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1593,235,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1594,235,"Доколе с ними жених, не могут поститься,"
1595,235,"Доколе с ними жених, не могут поститься,"
1596,235,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1597,235,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1598,321,"18 Ученики Иоанновы и фарисейские постились."
1599,321,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1600,473,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1601,474,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1602,565,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1603,825,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1604,825,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1605,832,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1606,957,"22 Никто не вливает вина молодого в мехи ветхие:"
1607,987,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1608,1244,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1609,1244,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1610,1244,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1611,1300,"Доколе с ними жених, не могут поститься,"
1612,1352,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1613,1451,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1614,1492,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1615,1492,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1616,1492,"22 Никто не вливает вина молодого в мехи ветхие:"
1617,1492,"но вино молодое надобно вливать в мехи новые."
1618,1492,"но вино молодое надобно вливать в мехи новые."
1619,1652,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1620,1670,"22 Никто не вливает вина молодого в мехи ветхие:"
1621,1674,"но вино молодое надобно вливать в мехи новые."
1622,1748,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1623,1749,"22 Никто не вливает вина молодого в мехи ветхие:"
1624,1749,"но вино молодое надобно вливать в мехи новые."
1625,1790,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1626,1790,"Доколе с ними жених, не могут поститься,"
1627,1805,"18 Ученики Иоанновы и фарисейские постились."
1628,1805,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1629,1805,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1630,1813,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1631,1938,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1632,1946,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1633,1946,"22 Никто не вливает вина молодого в мехи ветхие:"
1634,2011,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1635,2011,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1636,2027,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1637,2288,"18 Ученики Иоанновы и фарисейские постились."
1638,2288,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1639,2288,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1640,2288,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1641,2288,"Доколе с ними жених, не могут поститься,"
1642,2301,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1643,2380,"иначе молодое вино прорвет мехи, и вино вытечет, и мехи пропадут;"
1644,2390,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1645,2466,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1646,2480,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1647,2508,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1648,2546,"Доколе с ними жених, не могут поститься,"
1649,2561,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1650,2580,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1651,2580,"Доколе с ними жених, не могут поститься,"
1652,2580,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1653,2631,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1654,2700,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1655,23873,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1656,23873,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1657,23873,"Доколе с ними жених, не могут поститься,"
1658,23873,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1659,23873,"22 Никто не вливает вина молодого в мехи ветхие:"
1660,24702,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1661,25253,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1662,25289,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1663,26219,"19 И сказал им Иисус: могут ли поститься сыны чертога брачного, когда с ними жених?"
1664,26219,"Доколе с ними жених, не могут поститься,"
1665,31527,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1666,38733,"22 Никто не вливает вина молодого в мехи ветхие:"
1667,38733,"но вино молодое надобно вливать в мехи новые."
1668,79595,"18 Ученики Иоанновы и фарисейские постились."
1669,79595,"Приходят к Нему и говорят: почему ученики Иоанновы и фарисейские постятся, а Твои ученики не постятся?"
1670,79600,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1671,79784,"20 но придут дни, когда отнимется у них жених, и тогда будут поститься в те дни."
1672,79787,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1673,79787,"21 Никто к ветхой одежде не приставляет заплаты из небеленой ткани: иначе вновь пришитое отдерет от старого, и дыра будет еще хуже."
1674,1,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1675,10,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1676,10,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1677,15,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1678,21,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1679,23,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1680,23,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1681,23,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1682,23,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1683,23,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1684,23,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1685,34,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1686,34,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1687,34,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1688,34,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1689,34,"27 И сказал им: суббота для человека, а не человек для субботы;"
1690,34,"28 посему Сын Человеческий есть господин и субботы."
1691,72,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1692,96,"27 И сказал им: суббота для человека, а не человек для субботы;"
1693,116,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1694,235,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1695,235,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1696,235,"27 И сказал им: суббота для человека, а не человек для субботы;"
1697,260,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1698,291,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1699,321,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1700,422,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1701,592,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1702,693,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1703,825,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1704,825,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1705,825,"27 И сказал им: суббота для человека, а не человек для субботы;"
1706,1026,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1707,1244,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1708,1244,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1709,1260,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1710,1260,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1711,1406,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1712,1406,"27 И сказал им: суббота для человека, а не человек для субботы;"
1713,1413,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1714,1477,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1715,1647,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1716,1647,"27 И сказал им: суббота для человека, а не человек для субботы;"
1717,1647,"27 И сказал им: суббота для человека, а не человек для субботы;"
1718,1647,"28 посему Сын Человеческий есть господин и субботы."
1719,1649,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1720,1649,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1721,1652,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1722,1669,"28 посему Сын Человеческий есть господин и субботы."
1723,1790,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1724,1790,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1725,1790,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1726,1790,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1727,1790,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1728,1790,"27 И сказал им: суббота для человека, а не человек для субботы;"
1729,1790,"27 И сказал им: суббота для человека, а не человек для субботы;"
1730,1790,"28 посему Сын Человеческий есть господин и субботы."
1731,1805,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1732,1805,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1733,1813,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1734,1841,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1735,1884,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1736,1907,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1737,1938,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1738,1946,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1739,1947,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1740,1953,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1741,1967,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1742,1982,"27 И сказал им: суббота для человека, а не человек для субботы;"
1743,1982,"27 И сказал им: суббота для человека, а не человек для субботы;"
1744,1983,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1745,2066,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1746,2066,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1747,2066,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1748,2072,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1749,2102,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1750,2102,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1751,2198,"28 посему Сын Человеческий есть господин и субботы."
1752,2291,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1753,2455,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1754,2480,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1755,2480,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1756,2480,"27 И сказал им: суббота для человека, а не человек для субботы;"
1757,2508,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1758,2561,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1759,2593,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1760,2618,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1761,2618,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1762,2633,"23 И случилось Ему в субботу проходить засеянными полями, и ученики Его дорогою начали срывать колосья."
1763,2633,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1764,2633,"27 И сказал им: суббота для человека, а не человек для субботы;"
1765,2633,"27 И сказал им: суббота для человека, а не человек для субботы;"
1766,2633,"28 посему Сын Человеческий есть господин и субботы."
1767,23873,"24 И фарисеи сказали Ему: смотри, что́ они делают в субботу, чего не должно делать?"
1768,23873,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1769,23873,"25 Он сказал им: неужели вы не читали никогда, что́ сделал Давид, когда имел нужду и взалкал сам и бывшие с ним?"
1770,23873,"26 как вошел он в дом Божий при первосвященнике Авиафаре и ел хлебы предложения, которых не должно было есть никому, кроме священников, и дал и бывшим с ним?"
1771,23873,"27 И сказал им: суббота для человека, а не человек для субботы;"
